ID,NIR_R,NIR_S,NIR_T,NIR_U,NIR_V,NIR_W,Vis_Violet,Vis_Blue,Vis_Green,Vis_Yellow,Vis_Orange,Vis_Red
18.0,2914.64,865.62,243.88,126.81,163.99,91.11,576.72,285.04,574.43,935.75,1880.11,1649.05
18.0,2614.25,840.07,236.04,118.52,143.49,85.42,584.34,364.85,635.64,1039.43,1915.19,1696.01
18.0,2615.41,878.9,233.69,121.83,152.03,91.11,662.69,539.3,796.85,1361.01,2160.75,1841.65
18.0,2638.6,882.99,210.16,115.2,165.7,102.5,403.71,281.62,798.89,1360.13,2031.8,1427.8
18.0,2468.11,823.72,192.91,108.57,150.32,87.69,488.58,369.41,837.66,1399.67,2017.58,1637.91
18.0,2847.37,771.59,198.4,106.91,161.43,88.83,586.52,430.98,786.65,1444.48,2052.66,1872.69
19.0,926.7,487.48,100.38,62.99,72.6,52.39,637.66,271.36,943.77,1134.32,1653.51,1489.88
19.0,1050.8,492.59,87.83,58.84,82.85,61.5,402.62,285.04,604.01,879.52,1244.87,1461.22
19.0,1478.78,556.98,112.92,67.96,103.35,68.33,441.79,320.38,503.01,868.1,1459.15,1373.68
19.0,1950.83,616.25,141.15,80.39,130.68,85.42,356.92,282.76,564.22,897.97,1543.53,1199.38
19.0,2048.25,773.64,187.42,103.6,135.8,89.97,574.55,442.38,779.51,1194.07,1625.06,1325.93
19.0,2244.26,884.01,202.32,114.37,163.99,109.33,446.14,293.02,640.75,980.56,1437.34,1226.44
19.0,1849.92,874.81,189.77,109.4,139.22,97.94,429.82,278.2,567.28,858.43,1105.5,1069.65
19.0,3131.53,1090.45,250.94,140.07,202.42,127.55,488.58,408.18,567.28,833.83,875.11,953.46
19.0,3366.97,1117.02,279.96,149.18,208.4,125.28,401.53,388.79,456.07,687.98,749.96,859.54
19.0,3124.57,1102.72,313.68,159.13,187.05,108.19,294.89,293.02,334.66,564.09,629.55,805.42
20.0,1028.77,578.44,111.36,72.11,82.85,60.36,621.34,394.5,800.93,1223.95,1895.28,1658.6
20.0,1134.31,550.85,110.57,68.79,87.12,61.5,549.52,420.72,752.98,1124.66,1376.66,1419.84
20.0,1388.31,553.91,122.33,71.28,99.08,67.19,578.9,429.84,635.64,1035.04,1389.93,1466.0
20.0,1402.23,584.57,123.9,75.42,105.05,70.61,473.35,311.26,560.14,883.03,1405.1,1372.09
20.0,1909.07,690.86,153.7,88.68,133.24,91.11,515.79,307.84,646.87,901.48,1307.45,1243.95
20.0,2337.05,916.72,196.83,112.72,159.72,108.19,400.44,240.57,585.65,791.65,1161.44,1066.47
20.0,2228.02,865.62,185.85,111.06,153.74,101.36,352.56,272.5,557.08,778.48,996.47,940.72
